poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
515	210	196.803	192.973	201.580	0.024	0.005	0.048
520	210	200.207	196.056	205.548	0.031	0.005	0.044
525	210	201.171	197.785	205.995	0.020	0.004	0.035
530	210	202.339	198.646	207.034	0.020	0.004	0.046
535	210	204.059	200.857	208.702	0.017	0.004	0.033
540	210	205.877	202.784	210.332	0.013	0.005	0.030
545	210	207.937	204.887	212.278	0.012	0.004	0.028
550	210	211.562	208.979	215.974	0.018	0.004	0.044
555	210	213.554	210.572	218.223	0.011	0.004	0.023
560	210	215.984	212.731	220.065	0.014	0.004	0.033
565	210	219.183	215.157	224.007	0.017	0.004	0.039
570	210	221.013	217.533	226.579	0.012	0.006	0.024
575	210	222.827	219.102	229.159	0.018	0.005	0.026
580	210	222.793	219.153	228.976	0.019	0.004	0.034
585	210	230.857	226.510	236.887	0.022	0.006	0.037
590	210	237.411	233.341	241.711	0.028	0.005	0.048
595	210	243.098	239.380	246.733	0.017	0.009	0.029
600	210	257.952	257.771	258.268	0.022	0.008	0.049
605	210	264.229	264.115	264.347	0.020	0.009	0.035
610	210	267.306	266.107	267.982	0.032	0.007	0.046
615	210	267.450	265.998	268.664	0.019	0.007	0.029
620	210	266.416	264.779	267.357	0.024	0.005	0.040
625	210	257.027	256.416	257.793	0.035	0.006	0.066
630	210	246.970	244.173	250.867	0.017	0.005	0.029
635	210	246.148	243.687	249.183	0.018	0.005	0.028
640	210	244.602	241.590	247.838	0.018	0.004	0.030
645	210	247.230	245.327	250.826	0.013	0.004	0.028
650	210	246.877	244.888	250.136	0.013	0.005	0.028
655	210	247.740	246.129	250.367	0.013	0.004	0.029
660	210	250.898	249.622	253.197	0.012	0.004	0.023
665	210	253.441	252.323	255.470	0.011	0.004	0.023
670	210	255.145	254.170	256.977	0.016	0.007	0.032
675	210	255.885	255.006	257.407	0.015	0.004	0.026
680	210	256.969	256.654	257.405	0.014	0.004	0.024
685	210	256.238	255.823	256.524	0.020	0.004	0.038
690	210	260.902	260.496	261.254	0.021	0.005	0.034
695	210	260.685	260.377	261.271	0.020	0.005	0.034
700	210	263.951	263.804	264.206	0.021	0.006	0.039
705	210	268.414	267.939	269.362	0.018	0.009	0.029
710	210	264.723	263.901	266.117	0.014	0.006	0.029
715	210	266.378	265.147	267.797	0.018	0.005	0.044
720	210	270.847	269.094	272.847	0.014	0.005	0.030
725	210	269.266	267.011	270.398	0.015	0.006	0.032
730	210	270.757	268.772	272.514	0.015	0.005	0.033
735	210	270.473	269.080	271.549	0.011	0.004	0.024
740	210	271.756	270.893	273.326	0.013	0.004	0.028
745	210	273.381	272.189	275.616	0.012	0.004	0.027
750	210	274.123	272.583	276.495	0.013	0.004	0.030
755	210	277.070	275.451	279.725	0.012	0.004	0.029
760	210	275.658	273.444	278.423	0.011	0.004	0.025
765	210	275.945	273.936	278.607	0.011	0.004	0.025
770	210	276.718	275.640	278.456	0.011	0.004	0.024
775	210	279.806	278.644	281.573	0.012	0.004	0.025
780	210	280.961	279.332	282.271	0.013	0.004	0.030
785	210	279.096	277.787	280.137	0.012	0.004	0.027
790	210	281.316	280.074	282.673	0.008	0.004	0.017
795	210	285.533	284.532	286.093	0.008	0.004	0.016
800	210	282.297	281.902	282.540	0.009	0.004	0.020
805	210	284.252	283.240	284.879	0.012	0.004	0.029
810	210	287.938	286.275	289.981	0.011	0.004	0.022
815	210	287.808	286.303	289.312	0.013	0.004	0.030
820	210	287.800	286.309	289.505	0.012	0.004	0.027
825	210	288.642	287.477	290.898	0.014	0.004	0.034
830	210	291.947	290.201	293.928	0.010	0.004	0.021
835	210	290.971	288.668	293.970	0.013	0.004	0.030
840	210	292.281	289.794	295.345	0.014	0.004	0.033
845	210	293.712	291.325	296.821	0.014	0.004	0.032
850	210	295.145	292.827	297.469	0.013	0.004	0.032
855	210	296.718	293.970	299.994	0.010	0.004	0.021
860	210	295.437	292.935	297.943	0.013	0.004	0.030
865	210	296.631	294.290	299.364	0.012	0.004	0.027
870	210	296.988	294.408	300.428	0.012	0.004	0.026
875	210	298.639	296.111	302.249	0.009	0.004	0.020
880	210	300.387	298.008	304.569	0.014	0.004	0.035
885	210	301.692	299.446	305.574	0.007	0.004	0.013
890	210	301.534	298.884	305.277	0.013	0.004	0.029
895	210	302.400	298.546	306.479	0.010	0.004	0.021
900	210	303.259	299.870	306.669	0.010	0.004	0.023
905	210	304.641	301.103	308.313	0.009	0.004	0.019
910	210	304.333	300.569	309.819	0.009	0.004	0.020
915	210	304.107	299.950	308.493	0.014	0.004	0.034
920	210	303.984	300.180	308.515	0.012	0.004	0.027
925	210	308.065	304.559	312.336	0.014	0.004	0.035
