poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
2220	50	6.186	5.837	6.535	0.004	0.004	0.004
2240	50	6.476	6.114	6.838	0.004	0.004	0.004
2260	50	7.073	6.677	7.469	0.004	0.004	0.004
2280	50	7.113	6.741	7.484	0.004	0.004	0.004
2300	50	8.095	7.716	8.474	0.004	0.004	0.004
2320	50	8.676	8.286	9.066	0.004	0.004	0.004
2340	50	10.274	9.889	10.660	0.004	0.004	0.004
2360	50	11.046	10.707	11.386	0.004	0.004	0.004
2380	50	12.309	11.977	12.641	0.004	0.004	0.004
2400	50	14.018	13.686	14.350	0.004	0.004	0.004
2420	50	17.792	17.464	18.119	0.004	0.004	0.004
2440	50	19.348	19.042	19.654	0.004	0.004	0.004
2460	50	22.807	22.471	23.143	0.004	0.004	0.004
2480	50	24.307	24.015	24.599	0.004	0.004	0.004
2500	50	27.819	27.534	28.103	0.004	0.004	0.004
2520	50	31.182	30.802	31.562	0.004	0.004	0.004
2540	50	32.504	32.198	32.809	0.004	0.004	0.004
2560	50	35.501	35.391	35.611	0.004	0.004	0.004
2580	50	36.645	36.614	36.676	0.004	0.004	0.004
2600	50	39.778	39.704	39.851	0.004	0.004	0.004
2620	50	43.056	42.883	43.230	0.004	0.004	0.004
2640	50	46.174	46.023	46.325	0.004	0.004	0.004
2660	50	49.289	49.275	49.303	0.004	0.004	0.004
2680	50	52.178	51.988	52.368	0.004	0.004	0.004
2700	50	55.232	54.924	55.540	0.004	0.004	0.004
2720	50	58.077	57.891	58.264	0.004	0.004	0.004
2740	50	61.091	60.917	61.266	0.004	0.004	0.004
2760	50	64.130	63.923	64.336	0.004	0.004	0.004
2780	50	66.552	66.301	66.803	0.004	0.004	0.004
2800	50	69.544	69.314	69.773	0.004	0.004	0.004
2820	50	71.836	71.296	72.376	0.004	0.004	0.004
2840	50	72.048	71.411	72.684	0.004	0.004	0.004
2860	50	74.976	74.295	75.657	0.004	0.004	0.004
2880	50	77.663	77.052	78.275	0.004	0.004	0.004
2900	50	80.375	79.658	81.092	0.004	0.004	0.004
2920	50	82.993	82.351	83.636	0.004	0.004	0.004
2940	50	85.780	85.157	86.404	0.004	0.004	0.004
2960	50	88.558	87.956	89.159	0.004	0.004	0.004
2980	50	90.740	89.956	91.524	0.004	0.004	0.004
3000	50	93.435	92.540	94.329	0.004	0.004	0.004
3020	50	95.835	94.823	96.847	0.004	0.004	0.004
3040	50	98.017	97.017	99.018	0.004	0.004	0.004
3060	50	100.403	99.649	101.156	0.004	0.004	0.004
3080	50	102.734	101.780	103.688	0.004	0.004	0.004
3100	50	105.270	104.193	106.347	0.004	0.004	0.004
3120	50	107.617	106.243	108.992	0.005	0.004	0.006
3140	50	109.505	108.056	110.953	0.004	0.004	0.004
3160	50	111.303	109.066	113.540	0.004	0.004	0.004
3180	50	113.289	111.238	115.340	0.004	0.004	0.004
3200	50	115.713	113.589	117.837	0.004	0.004	0.004
3220	50	117.293	115.916	118.670	0.004	0.004	0.004
3240	50	119.341	118.016	120.667	0.005	0.004	0.006
3260	50	121.472	120.527	122.417	0.004	0.004	0.004
3280	50	123.668	122.575	124.761	0.004	0.004	0.004
3300	50	125.614	124.592	126.637	0.004	0.004	0.004
3320	50	127.272	127.045	127.499	0.004	0.004	0.004
3340	50	129.485	129.246	129.724	0.004	0.004	0.004
3360	50	131.111	130.985	131.236	0.004	0.004	0.004
3380	50	133.410	133.408	133.413	0.004	0.004	0.004
3400	50	134.791	134.786	134.797	0.004	0.004	0.004
3420	50	136.502	136.379	136.624	0.004	0.004	0.004
3440	50	138.594	138.448	138.739	0.004	0.004	0.004
3460	50	140.535	140.287	140.784	0.004	0.004	0.004
3480	50	142.456	142.071	142.841	0.004	0.004	0.004
3500	50	144.490	143.824	145.156	0.004	0.004	0.004
3520	50	145.677	145.237	146.117	0.004	0.004	0.004
3540	50	147.791	147.189	148.394	0.004	0.004	0.004
3560	50	148.853	147.638	150.069	0.004	0.004	0.004
3580	50	151.075	149.830	152.320	0.004	0.004	0.004
3600	50	152.225	150.483	153.967	0.004	0.004	0.004
3620	50	153.426	152.566	154.287	0.004	0.004	0.004
3640	50	155.422	154.382	156.462	0.004	0.004	0.004
3660	50	157.088	155.860	158.317	0.004	0.004	0.004
3680	50	158.085	156.970	159.199	0.004	0.004	0.004
3700	50	160.184	159.044	161.323	0.004	0.004	0.004
3720	50	160.925	159.406	162.445	0.004	0.004	0.004
3740	50	162.459	161.076	163.843	0.004	0.004	0.004
3760	50	164.144	163.084	165.204	0.004	0.004	0.004
3780	50	162.636	161.739	163.533	0.004	0.004	0.004
3800	50	163.910	162.269	165.552	0.004	0.004	0.004
3820	50	165.890	164.216	167.564	0.004	0.004	0.004
3840	50	165.428	164.999	165.857	0.004	0.004	0.004
3860	50	166.361	165.724	166.997	0.004	0.004	0.004
3880	50	167.246	165.596	168.896	0.004	0.004	0.004
3900	50	168.098	167.422	168.773	0.004	0.004	0.004
3920	50	169.718	168.819	170.617	0.004	0.004	0.004
3940	50	171.323	170.620	172.027	0.004	0.004	0.004
3960	50	173.127	172.410	173.845	0.004	0.004	0.004
3980	50	173.674	173.362	173.985	0.004	0.004	0.004
4000	50	174.586	174.269	174.904	0.004	0.004	0.004
4020	50	176.340	176.016	176.664	0.004	0.004	0.004
4040	50	176.528	176.187	176.869	0.004	0.004	0.004
4060	50	177.315	176.502	178.127	0.004	0.004	0.004
4080	50	178.076	177.978	178.173	0.004	0.004	0.004
4100	50	178.779	178.685	178.874	0.004	0.004	0.004
4120	50	179.929	179.833	180.025	0.004	0.004	0.004
4140	50	179.038	178.120	179.956	0.004	0.004	0.004
4160	50	180.600	179.668	181.533	0.004	0.004	0.004
4180	50	181.645	181.207	182.083	0.004	0.004	0.004
4200	50	182.906	182.195	183.618	0.004	0.004	0.004
4220	50	184.424	183.700	185.147	0.004	0.004	0.004
4240	50	185.408	184.665	186.151	0.004	0.004	0.004
4260	50	186.086	184.513	187.659	0.004	0.004	0.004
4280	50	187.022	185.415	188.629	0.004	0.004	0.004
4300	50	188.215	186.851	189.579	0.004	0.004	0.004
4320	50	189.667	188.282	191.052	0.004	0.004	0.004
4340	50	190.844	189.708	191.980	0.004	0.004	0.004
4360	50	191.994	190.560	193.428	0.004	0.004	0.004
4380	50	193.130	191.391	194.868	0.004	0.004	0.004
4400	50	194.539	192.776	196.303	0.004	0.004	0.004
4420	50	195.672	194.155	197.189	0.004	0.004	0.004
4440	50	196.521	195.531	197.510	0.004	0.004	0.004
4460	50	197.618	196.329	198.907	0.004	0.004	0.004
4480	50	198.991	197.685	200.296	0.004	0.004	0.004
4500	50	200.356	199.030	201.681	0.004	0.004	0.004
4520	50	201.993	200.372	203.615	0.004	0.004	0.004
4540	50	203.355	202.284	204.425	0.004	0.004	0.004
4560	50	204.696	203.612	205.780	0.004	0.004	0.004
4580	50	205.743	204.932	206.555	0.004	0.004	0.004
4600	50	206.187	205.648	206.727	0.004	0.004	0.004
4620	50	206.902	206.859	206.944	0.004	0.004	0.004
4640	50	206.068	203.903	208.232	0.004	0.004	0.004
4660	50	207.319	205.739	208.899	0.004	0.004	0.004
4680	50	208.860	206.950	210.770	0.004	0.004	0.004
4700	50	209.469	207.528	211.410	0.004	0.004	0.004
4720	50	210.062	208.090	212.034	0.004	0.004	0.004
4740	50	210.946	208.631	213.262	0.004	0.004	0.004
4760	50	212.145	210.430	213.860	0.004	0.004	0.004
4780	50	213.642	211.588	215.696	0.004	0.004	0.004
4800	50	214.821	212.741	216.902	0.004	0.004	0.004
4820	50	215.998	213.891	218.104	0.004	0.004	0.004
4840	50	217.169	215.034	219.305	0.004	0.004	0.004
4860	50	218.968	216.812	221.124	0.004	0.004	0.004
4880	50	219.802	217.939	221.666	0.004	0.004	0.004
4900	50	220.948	219.063	222.834	0.004	0.004	0.004
4920	50	221.441	218.881	224.001	0.004	0.004	0.004
4940	50	223.217	220.633	225.801	0.004	0.004	0.004
4960	50	224.014	221.721	226.307	0.004	0.004	0.004
4980	50	225.126	222.806	227.446	0.004	0.004	0.004
5000	50	226.238	223.891	228.585	0.004	0.004	0.004
5020	50	227.996	225.628	230.365	0.004	0.004	0.004
5040	50	228.430	225.365	231.496	0.004	0.004	0.004
5060	50	228.862	226.416	231.308	0.004	0.004	0.004
5080	50	230.600	228.133	233.067	0.004	0.004	0.004
5100	50	230.999	229.173	232.824	0.004	0.004	0.004
5120	50	227.520	224.547	230.493	0.004	0.004	0.004
5140	50	228.855	226.212	231.498	0.004	0.004	0.004
5160	50	229.806	226.404	233.208	0.004	0.004	0.004
5180	50	230.391	226.579	234.203	0.004	0.004	0.004
5200	50	231.709	228.223	235.196	0.004	0.004	0.004
5220	50	232.249	227.604	236.895	0.004	0.004	0.004
5240	50	232.073	228.468	235.677	0.004	0.004	0.004
5260	50	231.481	230.091	232.872	0.004	0.004	0.004
5280	50	232.731	230.942	234.520	0.004	0.004	0.004
5300	50	232.813	231.785	233.842	0.004	0.004	0.004
5320	50	234.436	233.398	235.475	0.004	0.004	0.004
5340	50	235.275	234.228	236.323	0.004	0.004	0.004
5360	50	234.903	232.649	237.157	0.004	0.004	0.004
5380	50	236.508	234.236	238.780	0.004	0.004	0.004
5400	50	236.899	234.198	239.600	0.004	0.004	0.004
5420	50	238.095	235.774	240.415	0.004	0.004	0.004
5440	50	239.279	236.531	242.027	0.004	0.004	0.004
5460	50	239.235	236.443	242.027	0.004	0.004	0.004
5480	50	240.816	238.004	243.629	0.004	0.004	0.004
5500	50	241.567	238.728	244.407	0.004	0.004	0.004
5520	50	242.323	240.283	244.364	0.004	0.004	0.004
5540	50	242.629	239.308	245.951	0.004	0.004	0.004
5560	50	243.355	239.999	246.712	0.004	0.004	0.004
5580	50	244.913	241.533	248.293	0.004	0.004	0.004
5600	50	245.628	242.214	249.043	0.004	0.004	0.004
5620	50	247.181	243.744	250.619	0.004	0.004	0.004
5640	50	247.458	243.555	251.362	0.004	0.004	0.004
5660	50	247.735	244.211	251.260	0.004	0.004	0.004
5680	50	249.273	245.724	252.821	0.004	0.004	0.004
5700	50	248.210	243.724	252.695	0.004	0.004	0.004
5720	50	249.732	245.217	254.246	0.004	0.004	0.004
5740	50	249.942	245.813	254.072	0.004	0.004	0.004
5760	50	251.457	247.301	255.613	0.004	0.004	0.004
5780	50	251.638	246.990	256.287	0.004	0.004	0.004
5800	50	253.145	248.467	257.823	0.004	0.004	0.004
5820	50	253.324	249.036	257.613	0.004	0.004	0.004
