poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
2220	5	3.084	2.500	3.449	0.004	0.004	0.005
2240	5	3.115	2.496	3.514	0.005	0.004	0.009
2260	5	3.324	2.762	3.756	0.004	0.004	0.004
2280	5	3.232	2.665	3.636	0.004	0.004	0.005
2300	5	3.279	2.580	3.906	0.004	0.004	0.004
2320	5	3.219	2.458	3.645	0.004	0.004	0.004
2340	5	3.558	2.945	3.914	0.004	0.004	0.004
2360	5	3.557	2.861	4.078	0.007	0.004	0.027
2380	5	3.762	2.891	4.368	0.004	0.004	0.004
2400	5	4.010	3.328	4.570	0.004	0.004	0.005
2420	5	3.724	2.981	4.191	0.004	0.004	0.004
2440	5	4.223	3.308	5.030	0.004	0.004	0.005
2460	5	4.451	3.473	5.340	0.006	0.004	0.018
2480	5	4.272	3.293	4.997	0.008	0.004	0.046
2500	5	5.093	4.211	5.664	0.004	0.004	0.005
2520	5	4.888	3.989	5.652	0.005	0.004	0.015
2540	5	4.813	3.928	5.613	0.004	0.004	0.004
2560	5	4.895	3.994	5.680	0.005	0.004	0.011
2580	5	5.172	4.230	5.899	0.004	0.004	0.004
2600	5	5.870	4.792	6.886	0.006	0.004	0.015
2620	5	5.278	4.246	6.510	0.004	0.004	0.004
2640	5	7.345	6.121	8.927	0.008	0.004	0.047
2660	5	6.771	5.755	7.711	0.007	0.004	0.031
2680	5	6.792	5.765	7.935	0.006	0.004	0.021
2700	5	7.856	6.709	9.431	0.006	0.004	0.024
2720	5	7.931	6.734	9.509	0.006	0.004	0.020
2740	5	9.335	7.894	10.795	0.007	0.004	0.024
2760	5	9.099	7.866	10.682	0.006	0.004	0.018
2780	5	9.762	8.277	11.464	0.008	0.004	0.042
2800	5	7.856	6.678	8.940	0.004	0.004	0.005
2820	5	12.875	11.411	15.499	0.004	0.004	0.006
2840	5	11.614	10.177	14.000	0.008	0.004	0.025
2860	5	13.658	12.346	16.394	0.006	0.004	0.022
2880	5	13.585	12.002	16.575	0.004	0.004	0.005
2900	5	15.552	13.400	18.739	0.004	0.004	0.005
2920	5	13.493	11.982	16.260	0.004	0.004	0.004
2940	5	15.771	13.508	19.078	0.006	0.004	0.023
2960	5	17.858	14.826	21.547	0.004	0.004	0.005
2980	5	17.164	14.257	20.489	0.006	0.004	0.025
3000	5	20.029	16.624	24.757	0.006	0.004	0.026
3020	5	19.465	16.216	23.260	0.006	0.004	0.021
3040	5	17.893	14.724	21.077	0.004	0.004	0.005
3060	5	24.492	20.734	29.767	0.007	0.004	0.031
3080	5	25.389	21.132	30.776	0.007	0.004	0.036
3100	5	24.215	19.789	29.716	0.004	0.004	0.005
3120	5	24.197	19.549	29.572	0.004	0.004	0.005
3140	5	28.315	23.817	34.875	0.004	0.004	0.005
3160	5	28.177	23.241	33.399	0.005	0.004	0.015
3180	5	30.767	25.550	36.850	0.006	0.004	0.025
3200	5	33.590	27.860	39.855	0.005	0.004	0.014
3220	5	30.597	24.686	36.830	0.004	0.004	0.004
3240	5	35.843	29.626	43.004	0.009	0.004	0.031
3260	5	38.504	31.936	46.363	0.005	0.004	0.008
3280	5	39.783	33.392	47.973	0.007	0.004	0.030
3300	5	43.942	36.419	54.292	0.010	0.004	0.061
3320	5	46.337	38.467	57.769	0.008	0.004	0.027
3340	5	48.479	40.768	61.136	0.010	0.004	0.051
3360	5	50.813	42.931	64.224	0.013	0.004	0.064
3380	5	50.896	42.981	62.857	0.004	0.004	0.005
3400	5	55.445	47.532	70.134	0.014	0.004	0.101
3420	5	57.242	49.962	73.756	0.011	0.004	0.051
3440	5	59.685	52.275	76.168	0.007	0.004	0.025
3460	5	57.685	49.794	73.325	0.008	0.004	0.044
3480	5	60.243	51.097	76.291	0.006	0.004	0.023
3500	5	66.464	59.035	84.730	0.013	0.004	0.086
3520	5	68.646	61.336	86.989	0.011	0.004	0.053
3540	5	70.933	63.636	90.223	0.012	0.004	0.070
3560	5	72.443	65.157	91.677	0.011	0.004	0.065
3580	5	75.347	68.237	95.550	0.014	0.004	0.081
3600	5	77.382	70.352	99.078	0.005	0.004	0.016
3620	5	79.458	72.640	102.281	0.008	0.004	0.040
3640	5	76.589	70.130	98.733	0.005	0.004	0.012
3660	5	82.936	77.184	106.088	0.008	0.004	0.039
3680	5	85.072	77.664	109.225	0.005	0.004	0.013
3700	5	86.757	79.947	110.961	0.007	0.004	0.037
3720	5	88.360	80.151	114.064	0.005	0.004	0.011
3740	5	89.167	75.403	115.585	0.007	0.004	0.035
3760	5	90.025	75.456	117.475	0.005	0.004	0.014
3780	5	95.136	80.999	121.774	0.004	0.004	0.004
3800	5	85.927	71.237	112.276	0.004	0.004	0.004
3820	5	87.729	73.242	115.280	0.004	0.004	0.004
3840	5	92.056	77.170	122.079	0.006	0.004	0.023
3860	5	91.690	77.253	119.366	0.004	0.004	0.004
3880	5	92.801	79.258	122.336	0.004	0.004	0.004
3900	5	94.541	81.263	125.306	0.004	0.004	0.004
3920	5	95.739	82.079	126.398	0.004	0.004	0.004
3940	5	97.275	84.040	129.335	0.004	0.004	0.004
3960	5	98.818	82.659	132.271	0.004	0.004	0.005
3980	5	100.555	84.593	135.208	0.004	0.004	0.004
4000	5	101.905	86.527	138.145	0.004	0.004	0.004
4020	5	103.925	88.462	139.139	0.004	0.004	0.005
4040	5	105.660	90.396	142.044	0.004	0.004	0.004
4060	5	107.593	92.330	144.948	0.004	0.004	0.005
4080	5	108.645	94.265	145.874	0.004	0.004	0.004
4100	5	110.332	96.199	148.747	0.004	0.004	0.004
4120	5	112.296	98.133	151.619	0.004	0.004	0.004
4140	5	113.962	99.516	152.394	0.004	0.004	0.005
4160	5	115.753	101.427	155.234	0.004	0.004	0.005
4180	5	117.453	103.339	158.074	0.004	0.004	0.004
4200	5	119.382	105.250	158.745	0.004	0.004	0.004
4220	5	121.058	107.162	161.553	0.004	0.004	0.004
4240	5	122.646	109.073	164.360	0.004	0.004	0.004
4260	5	127.061	106.817	170.975	0.004	0.004	0.005
4280	5	128.641	108.625	173.779	0.004	0.004	0.005
4300	5	129.835	110.433	174.298	0.004	0.004	0.005
4320	5	131.424	112.241	177.069	0.004	0.004	0.005
4340	5	132.950	114.049	177.444	0.004	0.004	0.005
4360	5	134.179	115.857	177.612	0.004	0.004	0.005
4380	5	135.976	117.665	180.316	0.004	0.004	0.005
4400	5	137.633	119.473	183.020	0.004	0.004	0.005
4420	5	138.978	121.282	185.724	0.004	0.004	0.005
4440	5	149.304	131.872	191.822	0.004	0.004	0.004
4460	5	142.647	123.955	191.116	0.004	0.004	0.004
4480	5	143.772	125.750	188.282	0.004	0.004	0.004
4500	5	145.126	127.546	187.944	0.004	0.004	0.004
4520	5	146.513	129.342	187.379	0.004	0.004	0.004
4540	5	147.386	127.357	189.914	0.004	0.004	0.004
4560	5	148.561	124.769	191.309	0.004	0.004	0.004
4580	5	149.648	124.990	191.536	0.004	0.004	0.004
4600	5	150.633	126.657	194.031	0.004	0.004	0.004
4620	5	153.877	129.902	194.149	0.004	0.004	0.004
4640	5	152.914	129.992	199.020	0.004	0.004	0.004
4660	5	154.502	131.659	197.950	0.004	0.004	0.004
4680	5	155.413	133.327	200.405	0.004	0.004	0.004
4700	5	155.289	130.115	199.061	0.004	0.004	0.004
4720	5	156.611	131.728	201.474	0.004	0.004	0.004
4740	5	157.229	133.341	203.887	0.004	0.004	0.004
4760	5	159.115	134.954	206.299	0.004	0.004	0.004
4780	5	160.676	136.567	208.712	0.004	0.004	0.004
4800	5	160.825	138.180	211.125	0.004	0.004	0.004
4820	5	161.987	139.793	213.538	0.004	0.004	0.004
4840	5	162.946	141.406	215.950	0.004	0.004	0.004
4860	5	164.794	143.019	218.363	0.004	0.004	0.004
4880	5	165.902	144.510	220.036	0.004	0.004	0.004
4900	5	166.497	146.245	214.621	0.004	0.004	0.004
4920	5	167.153	147.858	212.300	0.004	0.004	0.004
4940	5	166.919	145.889	218.733	0.007	0.004	0.034
4960	5	169.540	149.872	216.872	0.004	0.004	0.004
4980	5	170.908	151.463	219.158	0.004	0.004	0.004
5000	5	171.773	153.054	221.444	0.004	0.004	0.004
5020	5	173.565	154.645	223.730	0.004	0.004	0.004
5040	5	174.820	152.173	226.016	0.004	0.004	0.004
5060	5	176.096	153.735	228.302	0.004	0.004	0.004
5080	5	176.908	155.298	220.889	0.004	0.004	0.004
5100	5	177.991	156.860	223.085	0.004	0.004	0.004
5120	5	182.515	161.049	226.562	0.010	0.004	0.063
5140	5	184.298	162.622	228.763	0.007	0.004	0.028
5160	5	185.068	164.194	230.965	0.010	0.004	0.063
5180	5	184.585	164.102	227.843	0.007	0.004	0.029
5200	5	186.339	165.673	229.997	0.010	0.004	0.065
5220	5	186.892	163.762	232.151	0.004	0.004	0.004
5240	5	185.810	161.808	229.648	0.004	0.004	0.004
5260	5	188.295	166.841	236.459	0.004	0.004	0.004
5280	5	187.741	164.861	233.920	0.004	0.004	0.004
5300	5	186.613	165.504	233.897	0.004	0.004	0.004
5320	5	188.320	167.026	236.025	0.004	0.004	0.004
5340	5	188.809	168.549	232.348	0.004	0.004	0.004
5360	5	188.989	167.948	234.428	0.004	0.004	0.004
5380	5	190.672	169.461	236.508	0.004	0.004	0.004
5400	5	191.207	167.748	232.471	0.004	0.004	0.004
5420	5	191.328	169.227	227.920	0.004	0.004	0.004
5440	5	192.697	161.723	235.660	0.012	0.004	0.082
5460	5	192.511	172.184	231.871	0.004	0.004	0.004
5480	5	194.155	173.662	233.847	0.004	0.004	0.004
5500	5	194.864	175.141	235.823	0.004	0.004	0.004
5520	5	196.501	176.620	237.799	0.004	0.004	0.004
5540	5	198.137	178.098	239.775	0.004	0.004	0.004
5560	5	198.098	179.577	241.751	0.004	0.004	0.004
5580	5	199.539	171.314	243.029	0.007	0.004	0.036
5600	5	200.741	182.534	245.702	0.004	0.004	0.004
5620	5	202.358	184.012	247.678	0.004	0.004	0.004
5640	5	202.931	185.491	249.654	0.004	0.004	0.004
5660	5	197.053	153.746	248.564	0.004	0.004	0.004
5680	5	197.975	154.978	250.529	0.004	0.004	0.004
