
20	1000	0.30657791840402704	95
20	500	0.2731479698297929	98
20	300	0.2940791151025793	91
20	100	0.27595168285155564	89
30	1000	0.4224598014477602	97
30	500	0.4267184786174608	92
30	300	0.39917158829538446	95
30	100	0.42446071477163405	84
40	1000	0.5492795718613491	93
40	500	0.556076723475789	86
40	300	0.5665763475561655	93
40	100	0.559874409853026	86
50	1000	0.5081791679064432	96
50	500	0.5554559230804443	93
50	300	0.5566104104121526	96
50	100	0.582264428668552	90
60	1000	0.7039787236680376	94
60	500	0.6789767520372257	86
60	300	0.6884879096523746	91
60	100	0.7205651998519897	92
70	1000	0.6904642180392616	95
70	500	0.6761063249487625	95
70	300	0.6857285726638067	84
70	100	0.6965521833171016	92
80	1000	0.803758773607077	97
80	500	0.7848933272891574	90
80	300	0.7432199954986572	95
80	100	0.839004554531791	88
90	1000	0.9657639006978458	97
90	500	1.043268248614143	85
90	300	1.0188736443991189	91
90	100	1.006348105925548	79
